"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'PSYCHOLOGY, SOCIAL' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,"6,712",12.321,0.007030
2,Social Issues and Policy Review,618,8.938,0.001720
3,Advances in Experimental Social Psychology,"5,859",6.550,0.002890
4,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,"75,827",6.335,0.026320
5,Social Psychological and Personality Science,"3,480",4.385,0.012640
6,EUROPEAN JOURNAL OF PERSONALITY,"3,363",3.910,0.005650
7,JOURNAL OF PERSONALITY,"9,149",3.667,0.007420
8,European Review of Social Psychology,836,3.333,0.001290
9,POLITICAL PSYCHOLOGY,"4,354",3.265,0.008150
10,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,"12,445",3.254,0.014640
11,PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,"17,417",2.970,0.014030
12,JOURNAL OF RESEARCH IN PERSONALITY,"8,102",2.767,0.008540
13,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,"4,289",2.736,0.003060
14,CHILD ABUSE & NEGLECT,"11,799",2.569,0.014420
15,GROUP PROCESSES & INTERGROUP RELATIONS,"2,449",2.540,0.003730
16,JOURNAL OF SOCIAL ISSUES,"7,637",2.483,0.003180
17,JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,"8,743",2.418,0.003040
18,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,"6,649",2.415,0.005250
19,SEX ROLES,"8,565",2.409,0.005760
20,JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS,"3,849",2.359,0.003430
21,International Review of Social Psychology,161,2.326,0.000650
22,PERSONALITY AND INDIVIDUAL DIFFERENCES,"26,304",2.311,0.031120
23,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,"12,321",2.304,0.006210
24,Cyberpsychology Behavior and Social Networking,"4,241",2.258,0.007070
25,JOURNAL OF PERSONALITY ASSESSMENT,"8,074",2.185,0.004090
26,LAW AND HUMAN BEHAVIOR,"3,204",2.154,0.003230
27,Cultural Diversity & Ethnic Minority Psychology,"2,802",2.147,0.004270
28,JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,"5,780",2.012,0.004720
29,INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,"3,504",1.981,0.002530
30,Psychology of Men & Masculinity,"1,810",1.941,0.002460
31,Personality and Mental Health,455,1.929,0.001180
32,Social Psychology,881,1.883,0.002860
33,MOTIVATION AND EMOTION,"4,148",1.878,0.004210
34,JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,"1,450",1.857,0.001260
35,Self and Identity,"1,977",1.797,0.002340
36,JOURNAL OF NONVERBAL BEHAVIOR,"1,649",1.767,0.001360
37,SMALL GROUP RESEARCH,"1,647",1.745,0.001190
38,Nebraska Symposium on Motivation,810,1.643,0.000290
39,Journal of Diversity in Higher Education,623,1.638,0.001050
40,RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,"1,298",1.591,0.001290
41,BASIC AND APPLIED SOCIAL PSYCHOLOGY,"2,318",1.577,0.002350
42,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,"8,248",1.537,0.002730
43,PERSONAL RELATIONSHIPS,"2,522",1.522,0.001680
44,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,"3,227",1.472,0.001820
45,JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,"1,191",1.467,0.000680
46,SOCIAL COGNITION,"2,590",1.452,0.002270
47,DEVIANT BEHAVIOR,"1,679",1.348,0.001830
48,SOCIAL PSYCHOLOGY QUARTERLY,"3,384",1.286,0.001490
49,JOURNAL OF SOCIAL PSYCHOLOGY,"3,399",1.241,0.001770
50,JOURNAL OF PSYCHOSOCIAL ONCOLOGY,"1,064",1.238,0.001670
51,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,"1,579",1.162,0.001520
52,Journal of Individual Differences,632,1.113,0.001310
53,ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,829,1.063,0.000720
54,Analyses of Social Issues and Public Policy,583,1.059,0.000780
55,Journal of Latina-o Psychology,260,0.978,0.000940
56,Emerging Adulthood,621,0.974,0.001640
57,Social Justice Research,"1,122",0.969,0.001050
58,KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,754,0.871,0.000880
59,GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE,914,0.788,0.000780
60,JOURNAL OF LOSS & TRAUMA,816,0.769,0.001000
61,SOCIAL BEHAVIOR AND PERSONALITY,"2,711",0.676,0.001900
62,Revista de Psicologia Social,291,0.519,0.000190
63,Social Influence,496,0.467,0.000580
64,Gedrag & Organisatie,109,0.125,0.000030
Copyright © 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
